title,tags,duration,duration_frac,start,end
Acoustic and Auditory Phonetics,chp09,0 days 00:10:58,0.18,2024-04-05 17:13:09,2024-04-05 17:24:07
Acoustic and Auditory Phonetics,chp08,0 days 00:09:57,0.17,2024-04-05 17:03:03,2024-04-05 17:13:00
Acoustic and Auditory Phonetics,chp07,0 days 00:09:10,0.15,2024-04-05 15:56:21,2024-04-05 16:05:31
In the Land of Invented Languages,chp26,0 days 00:10:14,0.17,2024-04-04 22:41:15,2024-04-04 22:51:29
In the Land of Invented Languages,chp25,0 days 00:11:44,0.2,2024-04-04 22:29:28,2024-04-04 22:41:12
In the Land of Invented Languages,chp24,0 days 00:08:34,0.14,2024-04-04 22:20:52,2024-04-04 22:29:26
In the Land of Invented Languages,chp23,0 days 00:06:16,0.1,2024-04-04 22:14:33,2024-04-04 22:20:49
In the Land of Invented Languages,chp22,0 days 00:08:16,0.14,2024-04-04 22:06:14,2024-04-04 22:14:30
In the Land of Invented Languages,chp21,0 days 00:09:27,0.16,2024-04-04 21:56:43,2024-04-04 22:06:10
In the Land of Invented Languages,chp20,0 days 00:13:16,0.22,2024-04-04 21:40:57,2024-04-04 21:54:13
In the Land of Invented Languages,chp19,0 days 00:04:37,0.08,2024-04-04 21:36:17,2024-04-04 21:40:54
In the Land of Invented Languages,chp18,0 days 00:05:23,0.09,2024-04-04 21:30:51,2024-04-04 21:36:14
In the Land of Invented Languages,chp17,0 days 00:11:14,0.19,2024-04-03 20:35:22,2024-04-03 20:46:36
In the Land of Invented Languages,chp16,0 days 00:08:21,0.14,2024-04-03 20:26:58,2024-04-03 20:35:19
In the Land of Invented Languages,chp15,0 days 00:10:40,0.18,2024-04-03 20:16:15,2024-04-03 20:26:55
In the Land of Invented Languages,chp14,0 days 00:07:27,0.12,2024-04-03 20:08:44,2024-04-03 20:16:11
In the Land of Invented Languages,chp13,0 days 00:09:06,0.15,2024-04-03 19:59:00,2024-04-03 20:08:06
Through the Language Glass,epilogue,0 days 00:05:44,0.1,2024-04-03 15:13:43,2024-04-03 15:19:27
Through the Language Glass,chp09,0 days 00:13:59,0.23,2024-04-03 14:53:07,2024-04-03 15:07:06
Through the Language Glass,chp08,0 days 00:24:59,0.42,2024-04-03 14:26:44,2024-04-03 14:51:43
Through the Language Glass,chp07,0 days 00:36:47,0.61,2024-04-03 13:34:51,2024-04-03 14:11:38
Through the Language Glass,chp06,0 days 00:28:48,0.48,2024-04-02 18:43:01,2024-04-02 19:11:49
Acoustic and Auditory Phonetics,chp06,0 days 00:10:07,0.17,2024-04-02 10:24:20,2024-04-02 10:34:27
Acoustic and Auditory Phonetics,chp05,0 days 00:12:43,0.21,2024-04-02 09:51:55,2024-04-02 10:04:38
Acoustic and Auditory Phonetics,chp04,0 days 00:06:32,0.11,2024-04-02 09:44:48,2024-04-02 09:51:20
Through the Language Glass,chp05,0 days 00:30:02,0.5,2024-03-30 22:06:55,2024-03-30 22:36:57
In the Land of Invented Languages,chp12,0 days 00:05:20,0.09,2024-03-30 08:46:52,2024-03-30 08:52:12
In the Land of Invented Languages,chp11,0 days 00:13:23,0.22,2024-03-30 08:32:33,2024-03-30 08:45:56
In the Land of Invented Languages,chp10,0 days 00:12:52,0.21,2024-03-30 08:19:38,2024-03-30 08:32:30
In the Land of Invented Languages,chp09,0 days 00:04:20,0.07,2024-03-30 08:15:04,2024-03-30 08:19:24
In the Land of Invented Languages,chp08,0 days 00:08:03,0.13,2024-03-30 08:06:57,2024-03-30 08:15:00
In the Land of Invented Languages,chp07,0 days 00:12:43,0.21,2024-03-30 07:52:21,2024-03-30 08:05:04
In the Land of Invented Languages,chp06,0 days 00:03:23,0.06,2024-03-30 07:48:55,2024-03-30 07:52:18
In the Land of Invented Languages,chp05,0 days 00:04:36,0.08,2024-03-29 21:35:50,2024-03-29 21:40:26
In the Land of Invented Languages,chp04,0 days 00:08:18,0.14,2024-03-29 21:26:55,2024-03-29 21:35:13
In the Land of Invented Languages,chp03,0 days 00:03:27,0.06,2024-03-29 21:23:25,2024-03-29 21:26:52
In the Land of Invented Languages,chp02,0 days 00:05:55,0.1,2024-03-29 21:17:28,2024-03-29 21:23:23
In the Land of Invented Languages,chp01,0 days 00:06:42,0.11,2024-03-29 21:10:43,2024-03-29 21:17:25
Through the Language Glass,chp04,0 days 00:20:11,0.34,2024-03-28 21:20:26,2024-03-28 21:40:37
Through the Language Glass,chp03,0 days 00:18:02,0.3,2024-03-28 21:02:21,2024-03-28 21:20:23
Through the Language Glass,chp02,0 days 00:16:15,0.27,2024-03-28 20:46:03,2024-03-28 21:02:18
Through the Language Glass,chp01,0 days 00:16:59,0.28,2024-03-28 20:26:04,2024-03-28 20:43:03
Through the Language Glass,prologue,0 days 00:16:27,0.27,2024-03-28 20:09:06,2024-03-28 20:25:33
The Infinite Gift,epilogue,0 days 00:00:44,0.01,2024-03-25 21:38:26,2024-03-25 21:39:10
The Infinite Gift,chp08,0 days 00:29:42,0.5,2024-03-25 21:08:36,2024-03-25 21:38:18
The Infinite Gift,chp07,0 days 00:36:01,0.6,2024-03-25 20:32:30,2024-03-25 21:08:31
Acoustic and Auditory Phonetics,chp03,0 days 00:27:12,0.45,2024-03-24 16:49:28,2024-03-24 17:16:40
The Infinite Gift,chp06,0 days 00:15:54,0.27,2024-03-19 15:55:31,2024-03-19 16:11:25
The Infinite Gift,chp05,0 days 00:17:30,0.29,2024-03-19 15:37:51,2024-03-19 15:55:21
The Infinite Gift,chp04,0 days 00:19:28,0.32,2024-03-19 15:17:51,2024-03-19 15:37:19
The Infinite Gift,chp03,0 days 00:18:16,0.3,2024-03-19 14:58:21,2024-03-19 15:16:37
The Infinite Gift,chp02,0 days 00:19:13,0.32,2024-03-19 14:39:05,2024-03-19 14:58:18
The Infinite Gift,chp01,0 days 00:02:00,0.03,2024-03-19 14:37:05,2024-03-19 14:39:05
Acoustic and Auditory Phonetics,chp02,0 days 00:18:40,0.31,2024-03-19 07:03:48,2024-03-19 07:22:28
Acoustic and Auditory Phonetics,chp01,0 days 00:14:18,0.24,2024-03-19 06:49:26,2024-03-19 07:03:44
Acoustic and Auditory Phonetics,intro,0 days 00:03:21,0.06,2024-03-19 06:46:01,2024-03-19 06:49:22
Things to Make and Do in the Fourth Dimension,afterword,0 days 00:02:05,0.03,2024-03-18 20:51:27,2024-03-18 20:53:32
Things to Make and Do in the Fourth Dimension,chp18,0 days 00:16:46,0.28,2024-03-18 20:34:34,2024-03-18 20:51:20
Things to Make and Do in the Fourth Dimension,chp17,0 days 00:25:00,0.42,2024-03-18 20:09:25,2024-03-18 20:34:25
Things to Make and Do in the Fourth Dimension,chp16,0 days 00:15:17,0.25,2024-03-18 19:54:02,2024-03-18 20:09:19
Things to Make and Do in the Fourth Dimension,chp15,0 days 00:15:42,0.26,2024-03-18 19:38:12,2024-03-18 19:53:54
Things to Make and Do in the Fourth Dimension,chp14,0 days 00:15:30,0.26,2024-03-18 19:22:38,2024-03-18 19:38:08
Things to Make and Do in the Fourth Dimension,chp13,0 days 00:17:55,0.3,2024-03-18 16:31:38,2024-03-18 16:49:33
Things to Make and Do in the Fourth Dimension,chp12,0 days 00:11:32,0.19,2024-03-18 15:39:12,2024-03-18 15:50:44
Things to Make and Do in the Fourth Dimension,chp11,0 days 00:16:56,0.28,2024-03-18 15:21:01,2024-03-18 15:37:57
Things to Make and Do in the Fourth Dimension,chp10,0 days 00:15:24,0.26,2024-03-16 20:34:41,2024-03-16 20:50:05
Things to Make and Do in the Fourth Dimension,chp09,0 days 00:16:58,0.28,2024-03-16 20:16:47,2024-03-16 20:33:45
Things to Make and Do in the Fourth Dimension,chp08,0 days 00:14:04,0.23,2024-03-16 20:02:38,2024-03-16 20:16:42
Things to Make and Do in the Fourth Dimension,chp07,0 days 00:16:36,0.28,2024-03-16 19:46:00,2024-03-16 20:02:36
Things to Make and Do in the Fourth Dimension,chp06,0 days 00:13:24,0.22,2024-03-16 19:32:33,2024-03-16 19:45:57
Things to Make and Do in the Fourth Dimension,chp05,0 days 00:15:02,0.25,2024-03-16 15:21:51,2024-03-16 15:36:53
Things to Make and Do in the Fourth Dimension,chp04,0 days 00:11:05,0.18,2024-03-16 15:03:19,2024-03-16 15:14:24
Things to Make and Do in the Fourth Dimension,chp03,0 days 00:11:30,0.19,2024-03-16 14:51:44,2024-03-16 15:03:14
Things to Make and Do in the Fourth Dimension,chp02,0 days 00:14:27,0.24,2024-03-16 14:37:14,2024-03-16 14:51:41
